Word,Part of speech,affixation,meaning,example,English example,source
maagol,adjective,,"lazy, indolent, idle",,,https://en.wiktionary.org/wiki/maagol
maalam,adjective,,"learned, clever, wise",,,https://en.wiktionary.org/wiki/maalam
maalwan,adjective,,generous,,,https://en.wiktionary.org/wiki/maalwan
maambas,adjective,,expensive or wasteful,,,https://en.wiktionary.org/wiki/maambas
maambong,adjective,,nice,,,https://en.wiktionary.org/wiki/maambong
maantod,adjective,,alternative form of maangtod (“burned”),,,https://en.wiktionary.org/wiki/maantod
maanyag,adjective,,"attractive; pretty; good-looking
Synonyms: nindot, tahom",,,https://en.wiktionary.org/wiki/maanyag
maanghit,adjective,,smelling like a goat,,,https://en.wiktionary.org/wiki/maanghit
maaslum,adjective,,sour,,,https://en.wiktionary.org/wiki/maaslum
maayo,adjective,,"good, nice
maayo kaayo ― very good
responsible
skillful, competent
beneficial
satisfying, pleasant
healthful",,,https://en.wiktionary.org/wiki/maayo
maayo-ayo,adjective,,"beautiful, seemly, pretty",,,https://en.wiktionary.org/wiki/maayo-ayo
mabahaw,adjective,,"stale, old",,,https://en.wiktionary.org/wiki/mabahaw
mabangis,adjective,,"ferocious; wild; cruel; mean
Synonyms: maisog, makuri, maringis",,,https://en.wiktionary.org/wiki/mabangis
mabasa,adjective,,"(Naga) to get wet; to get covered or impregnated with any liquid
Synonym: madumog",,,https://en.wiktionary.org/wiki/mabasa
mabaskug,adjective,,"loud
Synonym: magansal",,,https://en.wiktionary.org/wiki/mabaskug
mabinantayon,adjective,,watchful,,,https://en.wiktionary.org/wiki/mabinantayon
mabug-at,adjective,,heavy,,,https://en.wiktionary.org/wiki/mabug-at
mabulakon,adjective,,abounding in flowers,,,https://en.wiktionary.org/wiki/mabulakon
madali,adjective,,"quickly; hurriedly; rushingly
Madali siyang naghali sa trabaho para magduman sa saiyang aki na nasa ospital.S/he quickly left from work to go to the hospital where her child is confined.",,,https://en.wiktionary.org/wiki/madali
madanlog,adjective,,"elusive, or slippery",,,https://en.wiktionary.org/wiki/madanlog
maduyug,adjective,,attracted,,,https://en.wiktionary.org/wiki/maduyug
maganas,adjective,,"tasteless, insipid
Antonym: marabó",,,https://en.wiktionary.org/wiki/maganas
magarot,adjective,,"noisy, boisterous",,,https://en.wiktionary.org/wiki/magarot
mahagup,adjective,,"tame, docile, gentle",,,https://en.wiktionary.org/wiki/mahagup
